Latitude,Longitude,Data,Grup,Y,X,Resultat,Demanda,Informació,Direcció,Text,Video,Image,Notes,Icon
41.37547,2.17076,5/22/18,Varis,4580765,430656,ND,Particular,,C/ Nou de la Rambla, 99,Sfgnfkjgndfkjngkdjfngkdnfkgjndkfjgndf,,https://i.picsum.photos/id/55/200/300.jpg?hmac=VjTl-6Y6NNyUWof_G17-KlocVl0QuUoxpir1beSTl8A,,square
41.3768,2.1685,6/29/18,PAH Barcelona,4580921,430469,aturat,Inmb,"<img src=""https://drive.google.com/uc?export=download&id=1YU47FlRgzl_3c_9Ftpp8ABmMtx29aJWO""></img>",C/ Carretes, 63,,,,,round
41.38157,2.16436,10/17/18,Stop Desnonaments Raval,4581452,430130,ND,Particular,,C/ de Ferlandina, 65,,,,,triangle
41.38092,2.16488,11/15/18,PAH Barcelona,4581379,430173,aturat,BANKIA,,C/ de Sant Gil, 4,,,,,
41.38092,2.16488,11/15/18,Stop Desnonaments Raval,4581380,430173,ND,Particular,,C/ Sant Gil, 4,,,,,
41.38092,2.16488,11/27/18,Raval Resistim,4581380,430173,ND,Particular,,C/ de Sant Gil, 4,,,,,
41.37829,2.16487,1/10/19,PAH Barcelona,4581089,430167,suspes,Budmac Investments,,Carrer dels Salvador, 18,,,,,
41.37829,2.16401,1/23/19,PAH Barcelona,4581376,430161,suspes,BBVA,,C/ Sant Gil, 4 bis,,,,,
41.3808,12.16401,/24/19,PAH Barcelona,4581376,430161,aturat,Inmb,,C/ Sant Gil, 4 bis,,,,,
41.38249,2.16502,1/29/19,PAH Barcelona,4581549,430187,suspes,BANKIA,,C/ Paloma, 12,,,,,
41.38092,2.16488,3/14/19,Varis,4581380,430173,ND,Particular,,C/ Sant Gil, 4,,,,,
41.37851,2.17538,3/14/19,PAH Barcelona,4580733,430834,aturat,Inmb,,C/ Arc del Teatre, 67,,,,,
41.37829,2.16487,6/5/19,PAH Barcelona,4581089,430167,suspes,Budmac Investments,,C/ Salvador, 18,,,,,
41.37851,2.17538,6/5/19,PAH Barcelona,4580729,430837,aturat,Inmb,,C/ Arc del Teatre, 67,,,,,
41.37814,2.16727,3/13/20,PAH Barcelona,4581071,430368,suspes,BBVA,,C/ Aurora, 20,,,,,
41.39472,2.18066,2/24/21,PAH Barcelona,4582900,431505,ND,BANKIA,,C/Nàpols, 100,,,,,




